,study_id,analysis_id,analysis_summary,analysis_type,chromatography system,column_name,chromatography_type,ms_instrument_name,ms_instrument_type,ms_type,ion_mode,nmr_instrument_type,nmr_experiment_type,spectrometer_frequency,nmr_solvent,units
ST002328_0,ST002328,AN003797,HILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Acquity BEH HSS T3 (100 x 2.1mm,1.8um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,area
ST002328_1,ST002328,AN003798,HILIC NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Acquity BEH HSS T3 (100 x 2.1mm,1.8um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,area
ST002776_0,ST002776,AN004519,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"Thermo Accucore Amide HILIC (150 x 2.1mm, 2.6um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak Area
ST002776_1,ST002776,AN004520,HILIC NEGATIVE ION MODE,MS,Thermo Vanquish,"Thermo Accucore Amide HILIC (150 x 2.1mm, 2.6um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak Area
ST002376_0,ST002376,AN003871,CE POSITIVE ION MODE,MS,Agilent 7100 CE,Fused silica capillary i.d. 50 μm × 80 cm,CE,Agilent CE-TOFMS,TOF,ESI,POSITIVE,,,,,Peak area
ST002376_1,ST002376,AN003872,CE NEGATIVE ION MODE,MS,Agilent 7100 CE,Fused silica capillary i.d. 50 μm × 80 cm,CE,Agilent CE-TOFMS,TOF,ESI,NEGATIVE,,,,,Peak area
ST003454,ST003454,AN005675,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"Merck ZIC-pHILIC(150 mm × 2.1 mm,3.5um)",HILIC,Thermo Q Exactive Focus,Triple quadrupole,MALDI,UNSPECIFIED,,,,,ion intensity
ST003541,ST003541,AN005813,HILIC POSITIVE ION MODE,MS,AB Sciex QTRAP 6500+,"Agilent ZORBAX Eclipse Plus C18 (100 x 2.1mm,1.8um)",HILIC,ABI Sciex 6500+ QTrap,QTRAP,EI,POSITIVE,,,,,Peak area
ST000405,ST000405,AN000645,Biocrates P-180,MS,Agilent 1100,"Agilent Eclipse XDB-C18 (100 x 3.0mm,3.5um)",Reversed phase,ABI Sciex API 4000 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,area
ST000571_0,ST000571,AN000879,UHPLC POSITIVE ION MODE,MS,Thermo Scientific-Dionex Ultimate 3000,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak height
ST000571_1,ST000571,AN000880,UHPLC NEGATIVE ION MODE,MS,Thermo Scientific-Dionex Ultimate 3000,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak height
ST000983,ST000983,AN001609,Reversed phase POSITIVE ION MODE,MS,Agilent 6530,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,nanograms (absolute)
ST001453,ST001453,AN002428,Targeted IC NEGATIVE ION MODE,MS,Thermo Dionex ICS-5000+,"Dionex IonPac AS11-HC (250 x 2mm,4um)",Ion exchange,,,,,,,,,abundance & normalized peak area
ST002228,ST002228,AN003637,GC POSITIVE ION MODE,MS,Shimadzu Nexis GC-2030,"Agilent DB5-MS (30m x 0.25mm, 0.25um)",GC,Shimadzu TQ8050NX,Triple quadrupole,EI,POSITIVE,,,,,abundance
ST000546_0,ST000546,AN000832,HILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000 RS,ZIC-pHILIC (Merck Sequant),HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peak height
ST000546_1,ST000546,AN000833,HILIC NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000 RS,ZIC-pHILIC (Merck Sequant),HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak height
